job_id,execution_time,base_data_model,judge_model
2206672,1009,gpt-4.1,Qwen/Qwen3-Next-80B-A3B-Instruct
2206719,294,gpt-4.1,Qwen/Qwen3-4B-Instruct-2507
2206738,1107,gpt-4.1,meta-llama/Llama-3.3-70B-Instruct
2206785,776,gpt-4.1,meta-llama/Llama-3.1-8B-Instruct
2206815,665,gpt-4.1,mistralai/Mistral-Small-3.2-24B-Instruct-2506
2206852,582,gpt-4.1,microsoft/phi-4
2206864,386,gpt-4.1,mistralai/Mistral-7B-Instruct-v0.3
2365574,659,gpt-4.1,Qwen/Qwen3-Next-80B-A3B-Instruct
2365579,156,gpt-4.1,Qwen/Qwen3-4B-Instruct-2507
2365582,369,gpt-4.1,meta-llama/Llama-3.3-70B-Instruct
2365585,232,gpt-4.1,meta-llama/Llama-3.1-8B-Instruct
2365588,264,gpt-4.1,mistralai/Mistral-Small-3.2-24B-Instruct-2506
2365594,206,gpt-4.1,microsoft/phi-4
2365598,138,gpt-4.1,mistralai/Mistral-7B-Instruct-v0.3
2367674,591,gpt-4.1,Qwen/Qwen3-Next-80B-A3B-Instruct
2367735,149,gpt-4.1,Qwen/Qwen3-4B-Instruct-2507
2367762,375,gpt-4.1,meta-llama/Llama-3.3-70B-Instruct
2367811,211,gpt-4.1,meta-llama/Llama-3.1-8B-Instruct
2367830,259,gpt-4.1,mistralai/Mistral-Small-3.2-24B-Instruct-2506
2367848,194,gpt-4.1,microsoft/phi-4
2367958,135,gpt-4.1,mistralai/Mistral-7B-Instruct-v0.3
2368501,618,gpt-4.1,Qwen/Qwen3-Next-80B-A3B-Instruct
2368554,151,gpt-4.1,Qwen/Qwen3-4B-Instruct-2507
2368576,390,gpt-4.1,meta-llama/Llama-3.3-70B-Instruct
2368596,223,gpt-4.1,meta-llama/Llama-3.1-8B-Instruct
2368619,259,gpt-4.1,mistralai/Mistral-Small-3.2-24B-Instruct-2506
2368690,195,gpt-4.1,microsoft/phi-4
2368830,126,gpt-4.1,mistralai/Mistral-7B-Instruct-v0.3
2371774,619,gpt-4.1,Qwen/Qwen3-Next-80B-A3B-Instruct
2371808,151,gpt-4.1,Qwen/Qwen3-4B-Instruct-2507
2371832,393,gpt-4.1,meta-llama/Llama-3.3-70B-Instruct
2371863,227,gpt-4.1,meta-llama/Llama-3.1-8B-Instruct
2371975,257,gpt-4.1,mistralai/Mistral-Small-3.2-24B-Instruct-2506
2371994,189,gpt-4.1,microsoft/phi-4
2372020,144,gpt-4.1,mistralai/Mistral-7B-Instruct-v0.3
